time,rflux,flux,
1329.6011, 1.0002993, 1.0000414,
1329.6025, 1.0001998, 0.99994217,
1329.6039, 1.0001640, 0.99990693,
1329.6053, 1.0003917, 1.0001347,
1329.6067, 1.0002206, 0.99996411,
1329.6080, 1.0001536, 0.99989728,
1329.6094, 1.0002034, 0.99994757,
1329.6108, 1.0003446, 1.0000890,
1329.6122, 1.0003693, 1.0001141,
1329.6136, 1.0004366, 1.0001815,
1329.6150, 1.0001665, 0.99991187,
1329.6164, 1.0001843, 0.99993003,
1329.6178, 1.0001716, 0.99991768,
1329.6192, 1.0001908, 0.99993710,
1329.6205, 1.0003890, 1.0001357,
1329.6219, 1.0002145, 0.99996158,
1329.6233, 1.0002843, 1.0000318,
1329.6247, 1.0001706, 0.99991836,
1329.6261, 1.0002653, 1.0000134,
1329.6275, 1.0002700, 1.0000183,
1329.6289, 1.0001346, 0.99988350,
1329.6303, 1.0000155, 0.99976474,
1329.6317, 1.0000796, 0.99982905,
1329.6330, 1.0003116, 1.0000613,
1329.6344, 1.0003073, 1.0000576,
1329.6358, 1.0001771, 0.99992777,
1329.6372, 1.0001442, 0.99989508,
1329.6386, 1.0001277, 0.99987890,
1329.6400, 1.0003442, 1.0000958,
1329.6414, 1.0005128, 1.0002646,
1329.6428, 1.0003114, 1.0000636,
1329.6442, 1.0001877, 0.99994020,
1329.6455, 1.0003425, 1.0000953,
1329.6469, 1.0001452, 0.99989846,
1329.6483, 1.0001005, 0.99985415,
1329.6511, 1.0002154, 0.99996984,
1329.6525, 1.0002267, 0.99998138,
1329.6539, 1.0002987, 1.0000537,
1329.6553, 1.0003122, 1.0000676,
1329.6567, 0.99989176, 0.99964770,
1329.6580, 1.0003193, 1.0000755,
1329.6594, 1.0003239, 1.0000804,
1329.6608, 1.0001115, 0.99986839,
1329.6622, 1.0002806, 1.0000377,
1329.6636, 1.0002966, 1.0000541,
1329.6650, 1.0001913, 0.99994921,
1329.6664, 1.0003706, 1.0001289,
1329.6678, 1.0004522, 1.0002108,
1329.6705, 1.0002638, 1.0000233,
1329.6719, 1.0001074, 0.99986715,
1329.6747, 1.0001743, 0.99993463,
1329.6761, 0.99989687, 0.99965770,
1329.6775, 1.0001726, 0.99993362,
1329.6789, 1.0005715, 1.0003329,
1329.6803, 1.0002636, 1.0000254,
1329.6817, 1.0001103, 0.99987247,
1329.6830, 1.0002330, 0.99999556,
1329.6844, 1.0004386, 1.0002015,
1329.6858, 1.0001735, 0.99993686,
1329.6872, 1.0001391, 0.99990258,
1329.6886, 1.0001312, 0.99989508,
1329.6900, 1.0003038, 1.0000681,
1329.6914, 1.0003744, 1.0001391,
1329.6928, 1.0003725, 1.0001375,
1329.6942, 1.0003112, 1.0000765,
1329.6955, 1.0002568, 1.0000225,
1329.6969, 1.0003189, 1.0000848,
1329.6983, 1.0001190, 0.99988546,
1329.6997, 1.0000851, 0.99985212,
1329.7011, 1.0000898, 0.99985704,
1329.7025, 1.0002127, 0.99998016,
1329.7039, 1.0002708, 1.0000386,
1329.7053, 1.0001712, 0.99993934,
1329.7067, 1.0001842, 0.99995269,
1329.7080, 1.0003851, 1.0001540,
1329.7094, 1.0001381, 0.99990729,
1329.7108, 1.0001712, 0.99994066,
1329.7122, 1.0001029, 0.99987293,
1329.7136, 1.0003939, 1.0001641,
1329.7150, 1.0003880, 1.0001586,
1329.7164, 1.0002832, 1.0000541,
1329.7178, 1.0002182, 0.99998956,
1329.7192, 1.0004428, 1.0002144,
1329.7219, 1.0001669, 0.99993933,
1329.7233, 1.0002736, 1.0000463,
1329.7247, 1.0001746, 0.99994766,
1329.7261, 1.0002666, 1.0000401,
1329.7275, 1.0001938, 0.99996747,
1329.7289, 1.0002375, 1.0000115,
1329.7303, 1.0001301, 0.99990449,
1329.7317, 1.0000877, 0.99986246,
1329.7330, 1.0002648, 1.0000400,
1329.7344, 1.0002974, 1.0000730,
1329.7358, 1.0001723, 0.99994809,
1329.7372, 1.0002285, 1.0000046,
1329.7386, 1.0001043, 0.99988066,
1329.7400, 1.0002056, 0.99998235,
1329.7414, 1.0002375, 1.0000145,
1329.7428, 1.0000992, 0.99987680,
1329.7442, 1.0002740, 1.0000518,
1329.7455, 1.0003703, 1.0001483,
1329.7469, 1.0003541, 1.0001326,
1329.7483, 1.0002591, 1.0000378,
1329.7497, 1.0002798, 1.0000590,
1329.7511, 1.0000969, 0.99987630,
1329.7525, 1.0002265, 1.0000062,
1329.7539, 1.0001347, 0.99991482,
1329.7553, 1.0004889, 1.0002691,
1329.7567, 1.0002440, 1.0000248,
1329.7580, 1.0002947, 1.0000757,
1329.7594, 1.0001893, 0.99997066,
1329.7608, 1.0002903, 1.0000720,
1329.7622, 1.0001437, 0.99992577,
1329.7636, 1.0001671, 0.99994933,
1329.7650, 1.0000994, 0.99988207,
1329.7664, 1.0001787, 0.99996158,
1329.7678, 1.0002531, 1.0000364,
1329.7692, 0.99997895, 0.99976251,
1329.7705, 1.0002884, 1.0000723,
1329.7719, 1.0003189, 1.0001031,
1329.7733, 1.0000841, 0.99986844,
1329.7747, 1.0000872, 0.99987201,
1329.7761, 1.0002432, 1.0000282,
1329.7775, 1.0001377, 0.99992326,
1329.7789, 1.0003271, 1.0001129,
